DataTransacao,Cliente,TipoTransacao,Valor_Transacoes,Bandeira,Aprovado
2022-12-03 17:10:20,Cliente 6,Estorno,1606.73,Elo,Sim
2022-09-17 18:51:02,Cliente 8,Saque,3044.17,Elo,Sim
2022-08-14 15:41:00,Cliente 2,Estorno,4744.72,Elo,Não
2022-09-30 18:59:53,Cliente 9,Saque,395.26,MasterCard,Sim
2022-12-05 16:24:05,Cliente 2,Compra,3844.27,MasterCard,Não
2022-07-06 11:38:11,Cliente 1,Fraude,2874.72,Visa,Sim
2022-10-06 17:01:20,Cliente 4,Estorno,4375.14,MasterCard,Sim
2022-11-06 18:36:57,Cliente 6,Saque,1725.28,Amex,Sim
2022-02-04 21:04:54,Cliente 4,Compra,4894.31,Amex,Não
2022-10-08 21:07:12,Cliente 4,Estorno,329.46,Elo,Sim
2022-02-01 14:04:01,Cliente 10,Compra,281.71,MasterCard,Sim
2022-05-12 19:07:38,Cliente 7,Estorno,3534.15,Amex,Não
2022-11-28 04:21:37,Cliente 9,Compra,4043.1,MasterCard,Não
2022-02-04 12:30:07,Cliente 1,Saque,152.33,Elo,Não
2022-06-11 09:08:50,Cliente 5,Estorno,3180.13,Elo,Sim
2022-05-10 23:30:09,Cliente 2,Estorno,3522.12,Elo,Sim
2022-12-01 11:22:31,Cliente 5,Fraude,3917.63,Visa,Sim
2022-07-29 00:46:06,Cliente 4,Compra,4008.53,MasterCard,Sim
2022-11-25 23:50:46,Cliente 6,Estorno,927.69,Visa,Não
2022-12-21 22:07:18,Cliente 1,Compra,312.77,Visa,Não
2022-12-03 23:20:58,Cliente 7,Compra,575.18,MasterCard,Não
2022-05-25 00:26:22,Cliente 10,Estorno,1436.88,MasterCard,Sim
2022-08-19 20:01:58,Cliente 6,Compra,3019.11,Visa,Sim
2022-12-08 15:52:44,Cliente 3,Saque,633.62,Visa,Não
2022-06-15 07:15:45,Cliente 2,Fraude,939.7,Elo,Não
2022-10-15 20:42:49,Cliente 7,Fraude,4994.89,Visa,Não
2022-02-25 20:28:36,Cliente 3,Saque,1500.96,MasterCard,Não
2022-02-19 11:55:18,Cliente 9,Compra,3663.9,Amex,Sim
2022-02-16 08:40:41,Cliente 9,Compra,3412.92,MasterCard,Sim
2022-09-12 22:34:10,Cliente 6,Fraude,3902.74,Elo,Sim
2022-10-02 15:39:56,Cliente 4,Compra,236.99,Amex,Sim
2022-01-12 16:01:48,Cliente 6,Compra,1910.27,MasterCard,Sim
2022-12-28 05:44:22,Cliente 2,Fraude,191.29,Amex,Sim
2022-04-09 07:44:51,Cliente 6,Compra,3291.59,Elo,Sim
2022-03-23 00:12:31,Cliente 6,Compra,3068.75,Elo,Não
2022-07-13 05:48:53,Cliente 8,Estorno,2843.24,MasterCard,Sim
2022-10-23 01:03:32,Cliente 8,Estorno,3495.27,MasterCard,Sim
2022-01-16 12:24:21,Cliente 4,Estorno,1357.51,Amex,Não
2022-08-01 10:04:30,Cliente 3,Compra,4844.0,Amex,Não
2022-02-09 17:39:41,Cliente 9,Compra,2699.52,MasterCard,Sim
2022-09-08 01:44:41,Cliente 4,Fraude,4071.41,MasterCard,Sim
2022-07-23 12:28:25,Cliente 8,Saque,188.14,Amex,Sim
2022-08-26 22:49:28,Cliente 10,Fraude,4686.12,Visa,Não
2022-02-23 18:43:34,Cliente 6,Compra,867.38,Elo,Sim
2022-04-28 20:00:25,Cliente 5,Compra,1970.84,Amex,Sim
2022-07-20 20:41:45,Cliente 8,Saque,2233.96,Elo,Não
2022-11-28 13:04:23,Cliente 1,Compra,434.33,MasterCard,Não
2022-09-02 04:34:46,Cliente 10,Saque,1983.79,Visa,Sim
2022-02-28 21:21:43,Cliente 1,Estorno,4832.69,Amex,Sim
2022-04-28 15:30:35,Cliente 2,Estorno,4504.28,Visa,Não
2022-09-28 14:08:40,Cliente 8,Fraude,334.56,Amex,Sim
2022-07-01 23:32:44,Cliente 7,Fraude,1632.4,MasterCard,Sim
2022-07-30 05:33:04,Cliente 5,Estorno,647.23,Visa,Sim
2022-03-20 15:42:19,Cliente 8,Compra,1724.44,Amex,Não
2022-07-23 15:35:06,Cliente 10,Estorno,4139.44,Elo,Sim
2022-03-07 15:10:52,Cliente 9,Compra,2580.24,Amex,Sim
2022-09-06 22:25:36,Cliente 10,Compra,3940.09,Elo,Não
2022-12-09 19:34:09,Cliente 5,Compra,4401.19,Elo,Não
2022-09-15 19:36:05,Cliente 7,Estorno,1577.28,Amex,Não
2022-05-18 07:22:01,Cliente 7,Compra,343.62,Elo,Não
2022-12-01 02:04:31,Cliente 6,Saque,852.44,Elo,Sim
2022-06-27 00:43:20,Cliente 6,Estorno,3388.19,Elo,Não
2022-01-17 01:13:27,Cliente 3,Saque,4360.24,Visa,Não
2022-08-03 03:41:39,Cliente 1,Fraude,2809.61,MasterCard,Não
2022-10-07 02:37:23,Cliente 2,Fraude,3287.17,Amex,Sim
2022-04-29 07:01:00,Cliente 5,Fraude,2834.01,MasterCard,Sim
2022-06-18 09:58:00,Cliente 4,Compra,4581.45,Amex,Não
2022-09-02 00:59:56,Cliente 5,Compra,2069.44,Amex,Não
2022-02-28 00:07:40,Cliente 7,Estorno,2390.62,Amex,Não
2022-12-20 16:14:27,Cliente 5,Saque,2001.15,MasterCard,Não
2022-05-31 02:29:21,Cliente 6,Compra,1714.44,MasterCard,Sim
2022-05-17 15:05:18,Cliente 8,Estorno,1091.26,MasterCard,Não
2022-08-07 11:48:31,Cliente 6,Fraude,1737.42,Visa,Sim
2022-11-06 20:39:13,Cliente 2,Compra,4526.38,Elo,Não
2022-12-31 14:14:21,Cliente 9,Fraude,3297.1,Visa,Não
2022-09-19 21:36:42,Cliente 7,Compra,4778.81,Visa,Sim
2022-07-11 21:16:02,Cliente 1,Estorno,2524.89,Elo,Não
2022-01-11 16:36:02,Cliente 4,Fraude,3875.57,Visa,Não
2022-12-14 21:39:34,Cliente 8,Estorno,1448.48,Elo,Sim
2022-06-29 20:16:27,Cliente 6,Estorno,4766.85,Visa,Sim
2022-01-20 17:52:12,Cliente 10,Estorno,2885.06,Amex,Sim
2022-05-24 02:27:31,Cliente 10,Saque,1852.94,Amex,Sim
2022-05-23 03:02:35,Cliente 5,Compra,4553.82,MasterCard,Sim
2022-01-20 17:01:16,Cliente 4,Estorno,4867.0,Amex,Sim
2022-08-09 07:48:33,Cliente 1,Saque,4128.19,Visa,Não
2022-12-18 15:19:00,Cliente 5,Saque,949.62,Visa,Não
2022-05-25 10:02:52,Cliente 2,Estorno,4525.66,Visa,Não
2022-05-15 06:07:25,Cliente 5,Compra,4041.32,Amex,Sim
2022-03-24 20:17:31,Cliente 7,Saque,3840.05,Elo,Não
2022-01-23 12:30:11,Cliente 2,Saque,1776.79,Amex,Sim
2022-08-15 00:26:05,Cliente 10,Saque,2640.14,Visa,Não
2022-12-13 06:08:43,Cliente 2,Fraude,3126.66,Visa,Não
2022-09-11 02:07:29,Cliente 7,Saque,2692.35,Elo,Não
2022-11-04 10:00:45,Cliente 8,Fraude,1366.63,Amex,Não
2022-12-13 15:35:48,Cliente 3,Estorno,4178.02,MasterCard,Não
2022-11-27 04:32:19,Cliente 10,Estorno,4490.36,MasterCard,Não
2022-09-05 04:03:51,Cliente 7,Fraude,1645.53,Visa,Sim
2022-09-04 23:08:41,Cliente 8,Fraude,868.08,Elo,Sim
2022-07-09 09:16:39,Cliente 5,Estorno,1039.81,Elo,Sim
2022-09-28 06:29:54,Cliente 10,Estorno,4216.9,MasterCard,Sim
2022-08-18 07:47:07,Cliente 6,Estorno,3340.35,Amex,Não
2022-04-18 14:45:02,Cliente 3,Fraude,3759.19,MasterCard,Sim
2022-11-01 09:21:15,Cliente 10,Compra,4640.28,MasterCard,Sim
2022-03-15 21:08:01,Cliente 4,Compra,4429.98,Elo,Sim
2022-06-26 20:51:43,Cliente 5,Compra,1252.72,Amex,Sim
2022-10-24 06:17:22,Cliente 9,Saque,2579.62,Visa,Sim
2022-10-10 17:01:54,Cliente 6,Saque,1347.84,MasterCard,Sim
2022-06-15 08:56:29,Cliente 6,Estorno,1634.2,MasterCard,Não
2022-06-12 17:08:05,Cliente 4,Compra,1085.96,MasterCard,Sim
2022-01-05 12:53:05,Cliente 7,Compra,1316.6,MasterCard,Sim
2022-07-04 15:06:58,Cliente 4,Estorno,2295.3,Visa,Não
2022-11-02 06:36:16,Cliente 5,Saque,614.27,Visa,Não
2022-11-07 00:40:10,Cliente 6,Estorno,1675.65,Amex,Não
2022-11-26 13:46:59,Cliente 8,Saque,369.52,Elo,Não
2022-09-01 05:16:33,Cliente 7,Compra,4346.66,Amex,Sim
2022-06-20 15:15:59,Cliente 2,Saque,2604.97,Elo,Não
2022-07-20 17:19:06,Cliente 10,Compra,745.19,MasterCard,Não
2022-03-25 09:25:29,Cliente 3,Estorno,4356.83,Amex,Sim
2022-09-06 11:34:32,Cliente 5,Estorno,1380.47,Amex,Sim
2022-04-01 09:52:14,Cliente 2,Fraude,789.02,Visa,Sim
2022-03-20 18:22:01,Cliente 7,Compra,957.82,Visa,Sim
2022-07-08 09:50:55,Cliente 5,Saque,4039.82,Visa,Não
2022-02-07 11:58:34,Cliente 1,Fraude,4232.81,Amex,Sim
2022-04-20 22:21:14,Cliente 4,Compra,3640.89,Visa,Sim
2022-04-12 07:57:01,Cliente 1,Compra,1853.78,Visa,Sim
2022-04-07 09:45:05,Cliente 1,Estorno,4320.7,Amex,Sim
2022-09-09 13:10:49,Cliente 7,Fraude,3637.84,MasterCard,Sim
2022-10-28 10:01:58,Cliente 7,Fraude,335.22,MasterCard,Sim
2022-07-05 16:43:25,Cliente 9,Compra,4337.11,Elo,Sim
2022-01-12 18:16:56,Cliente 6,Compra,2296.96,Visa,Não
2022-08-19 22:03:31,Cliente 7,Compra,2910.64,Amex,Não
2022-02-02 22:00:15,Cliente 3,Saque,2128.51,Amex,Não
2022-11-21 11:43:31,Cliente 6,Fraude,3810.48,Elo,Sim
2022-07-01 15:01:17,Cliente 3,Estorno,836.52,Amex,Sim
2022-08-01 13:35:53,Cliente 9,Fraude,3065.62,Amex,Não
2022-08-06 03:36:20,Cliente 3,Fraude,396.41,MasterCard,Não
2022-08-13 17:33:46,Cliente 6,Fraude,4614.46,MasterCard,Sim
2022-11-01 16:44:42,Cliente 10,Fraude,2038.55,MasterCard,Sim
2022-08-04 10:29:25,Cliente 6,Estorno,3947.32,Amex,Sim
2022-10-15 02:26:33,Cliente 10,Saque,4905.18,MasterCard,Sim
2022-03-31 12:53:59,Cliente 3,Estorno,4550.71,Elo,Sim
2022-07-29 04:54:03,Cliente 1,Estorno,4720.4,Visa,Sim
2022-01-28 16:26:17,Cliente 2,Estorno,3566.78,Amex,Não
2022-07-21 05:18:25,Cliente 10,Compra,2216.24,Elo,Não
2022-09-05 22:23:21,Cliente 4,Estorno,3583.65,Elo,Não
2022-09-23 07:15:13,Cliente 10,Saque,4816.01,Elo,Não
2022-01-13 01:23:56,Cliente 8,Compra,3591.0,Amex,Sim
2022-01-23 03:33:30,Cliente 5,Saque,1271.04,Visa,Não
2022-05-30 08:43:42,Cliente 1,Fraude,508.59,MasterCard,Não
2022-06-18 10:15:52,Cliente 2,Fraude,3393.13,MasterCard,Sim
2022-07-08 23:07:56,Cliente 5,Compra,765.29,MasterCard,Não
2022-07-03 23:06:07,Cliente 2,Estorno,1804.5,MasterCard,Sim
2022-11-30 14:26:15,Cliente 1,Saque,2472.52,Elo,Sim
2022-12-19 11:58:31,Cliente 8,Estorno,3370.65,Elo,Não
2022-08-24 06:51:38,Cliente 4,Saque,3109.28,Amex,Não
2022-09-02 18:14:06,Cliente 9,Compra,3599.04,MasterCard,Sim
2022-04-12 03:10:15,Cliente 9,Compra,1612.64,MasterCard,Não
2022-02-03 02:45:12,Cliente 4,Compra,1127.89,Amex,Sim
2022-08-03 10:48:23,Cliente 3,Compra,4057.31,Visa,Sim
2022-03-26 00:18:45,Cliente 7,Fraude,966.32,MasterCard,Não
2022-02-13 04:05:20,Cliente 6,Compra,2110.65,Elo,Sim
2022-11-08 20:24:40,Cliente 8,Compra,2746.52,Elo,Não
2022-02-24 08:54:15,Cliente 6,Saque,2659.58,Visa,Sim
2022-11-06 23:52:45,Cliente 6,Compra,1770.3,Amex,Sim
2022-01-11 20:32:23,Cliente 6,Fraude,1047.18,MasterCard,Não
2022-10-29 03:59:36,Cliente 4,Saque,1694.71,Visa,Não
2022-08-03 13:02:22,Cliente 6,Saque,958.35,Elo,Sim
2022-10-29 05:07:43,Cliente 10,Saque,726.45,Visa,Sim
2022-09-26 12:39:31,Cliente 6,Compra,109.39,Amex,Não
2022-11-19 15:36:25,Cliente 9,Estorno,2312.04,MasterCard,Sim
2022-04-22 05:13:04,Cliente 9,Fraude,1817.66,Visa,Não
2022-03-29 15:37:31,Cliente 10,Estorno,3181.65,Elo,Sim
2022-04-19 13:35:04,Cliente 9,Saque,4251.97,Elo,Não
2022-09-06 19:22:43,Cliente 1,Compra,2883.89,MasterCard,Não
2022-01-28 17:14:14,Cliente 10,Fraude,4381.92,Elo,Sim
2022-02-17 14:32:59,Cliente 4,Estorno,2803.11,Elo,Sim
2022-01-14 00:15:13,Cliente 3,Saque,581.42,Amex,Sim
2022-02-05 11:21:50,Cliente 10,Fraude,3697.05,Visa,Não
2022-01-01 10:40:25,Cliente 4,Estorno,3281.37,Elo,Sim
2022-07-29 19:26:09,Cliente 3,Compra,2148.34,Elo,Sim
2022-12-22 06:20:53,Cliente 2,Compra,325.7,MasterCard,Sim
2022-12-11 12:46:50,Cliente 7,Compra,2508.51,MasterCard,Sim
2022-10-14 08:39:35,Cliente 8,Estorno,1698.4,MasterCard,Não
2022-07-22 02:10:06,Cliente 8,Saque,3313.35,Visa,Não
2022-09-15 06:18:58,Cliente 6,Estorno,3715.33,Elo,Sim
2022-04-29 16:59:19,Cliente 10,Fraude,3761.28,MasterCard,Não
2022-09-25 01:43:04,Cliente 6,Saque,2777.49,Elo,Sim
2022-10-20 17:34:05,Cliente 2,Estorno,4746.55,Elo,Não
2022-03-02 01:06:44,Cliente 4,Fraude,4150.07,Visa,Não
2022-05-04 01:45:55,Cliente 10,Fraude,3237.29,Amex,Não
2022-09-23 12:14:20,Cliente 8,Saque,612.07,MasterCard,Sim
2022-05-12 09:12:41,Cliente 8,Estorno,4953.36,MasterCard,Sim
2022-09-08 23:25:47,Cliente 3,Fraude,1038.89,Amex,Sim
2022-04-14 09:27:22,Cliente 6,Estorno,3522.49,Amex,Sim
2022-09-22 15:20:48,Cliente 10,Fraude,1964.1,Elo,Sim
2022-04-08 06:43:02,Cliente 2,Saque,3574.19,Amex,Não
2022-03-20 20:33:38,Cliente 3,Estorno,784.71,MasterCard,Sim
2022-10-25 20:35:22,Cliente 4,Estorno,3063.66,Amex,Sim
2022-03-14 20:18:49,Cliente 6,Saque,2976.7,Elo,Sim
2022-08-05 19:09:57,Cliente 3,Estorno,1756.02,Elo,Não
2022-11-27 03:53:17,Cliente 9,Estorno,3643.65,Amex,Não
2022-12-03 09:50:09,Cliente 10,Saque,823.23,Visa,Sim
2022-06-30 23:32:19,Cliente 7,Fraude,3817.47,Visa,Não
2022-04-14 07:32:14,Cliente 10,Compra,2941.23,MasterCard,Não
2022-01-20 20:03:02,Cliente 5,Fraude,2606.71,Amex,Não
2022-11-22 12:31:44,Cliente 1,Estorno,1379.07,Elo,Sim
2022-04-14 18:36:26,Cliente 5,Compra,2583.36,Visa,Não
2022-11-25 18:32:02,Cliente 2,Compra,896.74,Amex,Não
2022-01-17 09:36:14,Cliente 6,Fraude,239.03,MasterCard,Sim
2022-08-18 16:29:46,Cliente 6,Compra,468.74,MasterCard,Não
2022-08-13 22:30:02,Cliente 10,Fraude,829.82,MasterCard,Não
2022-03-22 07:42:01,Cliente 7,Estorno,1998.69,Amex,Sim
2022-01-18 13:08:34,Cliente 10,Compra,3329.38,MasterCard,Sim
2022-01-18 05:21:58,Cliente 4,Estorno,3377.5,Visa,Sim
2022-12-25 13:57:50,Cliente 4,Estorno,3063.47,Elo,Não
2022-11-20 23:33:44,Cliente 1,Saque,3915.37,MasterCard,Sim
2022-11-15 23:08:29,Cliente 5,Estorno,1802.58,Visa,Não
2022-02-01 00:50:23,Cliente 10,Fraude,1142.66,Visa,Não
2022-03-18 09:22:35,Cliente 1,Saque,4702.31,Elo,Não
2022-09-29 13:10:55,Cliente 3,Fraude,2403.52,MasterCard,Não
2022-01-19 09:05:31,Cliente 9,Saque,4960.33,Amex,Não
2022-11-05 23:15:34,Cliente 10,Saque,3143.67,MasterCard,Não
2022-06-07 21:44:30,Cliente 9,Fraude,3612.2,Visa,Sim
2022-09-05 10:52:17,Cliente 9,Estorno,579.09,Amex,Não
2022-11-04 12:54:00,Cliente 2,Fraude,298.37,Visa,Sim
2022-09-07 22:56:29,Cliente 2,Estorno,4528.29,Visa,Não
2022-11-21 06:17:35,Cliente 4,Estorno,3273.56,Amex,Não
2022-03-09 02:47:51,Cliente 1,Fraude,417.83,Amex,Não
2022-12-22 00:07:20,Cliente 10,Estorno,1830.25,MasterCard,Sim
2022-12-30 02:42:34,Cliente 8,Fraude,3991.24,MasterCard,Sim
2022-05-29 02:46:18,Cliente 7,Fraude,2258.82,Amex,Não
2022-08-16 03:49:28,Cliente 9,Saque,1543.49,MasterCard,Sim
2022-05-08 12:57:40,Cliente 3,Saque,514.72,Visa,Sim
2022-08-26 21:17:12,Cliente 7,Fraude,917.92,Amex,Sim
2022-03-06 07:57:01,Cliente 7,Estorno,2182.55,Amex,Sim
2022-12-08 19:44:49,Cliente 7,Saque,2431.84,MasterCard,Sim
2022-07-26 21:13:16,Cliente 9,Estorno,295.42,Visa,Não
2022-02-23 09:27:47,Cliente 5,Fraude,4813.6,Visa,Sim
2022-04-03 10:10:33,Cliente 2,Fraude,2111.47,MasterCard,Sim
2022-05-06 05:04:57,Cliente 4,Compra,3292.18,MasterCard,Não
2022-12-28 14:56:55,Cliente 3,Fraude,4414.44,Amex,Sim
2022-05-09 18:29:31,Cliente 10,Estorno,984.83,MasterCard,Não
2022-05-05 09:23:29,Cliente 4,Saque,845.78,Elo,Sim
2022-04-08 16:48:30,Cliente 8,Fraude,196.39,Visa,Não
2022-10-06 03:41:25,Cliente 2,Fraude,1890.78,Visa,Sim
2022-10-16 18:14:38,Cliente 1,Compra,629.55,Elo,Não
2022-10-20 12:16:18,Cliente 1,Compra,2416.51,Visa,Não
2022-10-06 19:20:04,Cliente 4,Saque,2161.22,Amex,Sim
2022-04-27 05:21:10,Cliente 2,Fraude,1752.9,Elo,Não
2022-09-22 09:31:39,Cliente 8,Estorno,4724.65,Visa,Não
2022-08-18 13:45:07,Cliente 7,Estorno,3489.72,Amex,Sim
2022-02-26 09:25:03,Cliente 10,Compra,464.24,Amex,Não
2022-05-03 16:47:32,Cliente 1,Fraude,4013.29,Visa,Sim
2022-10-26 13:57:35,Cliente 9,Saque,3936.63,Amex,Sim
2022-10-18 15:31:35,Cliente 4,Saque,3586.39,Visa,Não
2022-02-15 06:52:15,Cliente 4,Estorno,902.18,MasterCard,Sim
2022-12-07 10:43:31,Cliente 4,Compra,725.19,Visa,Não
2022-03-27 18:26:44,Cliente 3,Compra,1844.23,Elo,Não
2022-08-24 07:02:54,Cliente 9,Fraude,2408.37,Visa,Não
2022-07-27 09:24:52,Cliente 6,Estorno,2884.08,Elo,Não
2022-07-14 18:53:51,Cliente 7,Fraude,4344.89,Elo,Não
2022-05-01 15:11:39,Cliente 1,Compra,2598.23,MasterCard,Sim
2022-02-01 09:13:41,Cliente 6,Compra,4731.4,Visa,Sim
2022-04-27 23:08:48,Cliente 6,Saque,2425.79,Elo,Não
2022-07-21 00:57:57,Cliente 1,Compra,3593.89,Amex,Sim
2022-09-26 10:24:52,Cliente 9,Compra,1068.34,Amex,Sim
2022-05-28 02:16:18,Cliente 6,Estorno,4510.56,Elo,Não
2022-07-08 16:23:00,Cliente 1,Estorno,2877.14,MasterCard,Sim
2022-12-23 05:23:37,Cliente 9,Fraude,2679.67,Amex,Sim
2022-03-23 12:22:00,Cliente 9,Saque,2170.23,Visa,Sim
2022-11-14 23:22:22,Cliente 10,Compra,251.97,Elo,Sim
2022-02-13 21:46:35,Cliente 1,Saque,4015.74,MasterCard,Não
2022-05-06 22:32:32,Cliente 9,Compra,4814.93,Elo,Sim
2022-01-25 01:21:48,Cliente 3,Compra,1122.72,MasterCard,Não
2022-12-22 11:49:28,Cliente 10,Estorno,629.95,Elo,Não
2022-12-29 11:23:26,Cliente 1,Compra,4834.55,Elo,Sim
2022-03-30 16:01:21,Cliente 3,Estorno,1595.19,MasterCard,Sim
2022-12-12 07:03:30,Cliente 5,Saque,53.63,Elo,Não
2022-07-22 11:24:00,Cliente 4,Estorno,1926.06,Amex,Não
2022-01-20 11:36:08,Cliente 3,Fraude,2754.22,Visa,Não
2022-05-18 18:31:14,Cliente 2,Compra,1431.08,Elo,Não
2022-12-14 05:40:40,Cliente 3,Estorno,3720.37,Visa,Sim
2022-05-16 22:18:41,Cliente 1,Fraude,3357.43,Visa,Sim
2022-03-03 02:20:07,Cliente 8,Fraude,4390.79,Visa,Sim
2022-01-27 06:16:23,Cliente 5,Fraude,2474.38,Visa,Sim
2022-03-24 02:14:31,Cliente 10,Compra,1537.35,MasterCard,Sim
2022-02-20 19:39:27,Cliente 6,Saque,4657.2,Visa,Sim
2022-03-24 09:26:50,Cliente 7,Compra,820.41,Visa,Sim
2022-01-16 10:02:42,Cliente 8,Saque,681.62,Amex,Sim
2022-04-10 22:16:24,Cliente 1,Estorno,1876.82,Amex,Não
2022-11-20 22:47:42,Cliente 8,Compra,3468.9,Visa,Sim
2022-08-02 19:36:31,Cliente 8,Fraude,989.54,Amex,Sim
2022-08-14 22:07:39,Cliente 8,Estorno,428.45,Amex,Sim
2022-08-12 12:56:00,Cliente 2,Compra,2260.16,MasterCard,Sim
2022-10-23 18:50:01,Cliente 7,Compra,2342.22,Visa,Sim
2022-11-08 16:32:23,Cliente 5,Saque,766.33,Amex,Sim
2022-02-05 01:01:11,Cliente 5,Fraude,378.65,Amex,Não
2022-01-06 16:39:35,Cliente 1,Fraude,3991.85,Elo,Não
2022-07-08 19:53:27,Cliente 6,Fraude,2245.88,Elo,Sim
2022-08-16 07:59:35,Cliente 2,Compra,232.07,Elo,Não
2022-06-15 10:01:52,Cliente 2,Fraude,1189.69,MasterCard,Sim
2022-09-30 21:54:30,Cliente 1,Estorno,3096.76,Elo,Sim
2022-06-16 09:43:49,Cliente 4,Fraude,4332.59,MasterCard,Sim
2022-10-21 20:01:20,Cliente 8,Fraude,1499.07,Visa,Sim
2022-12-07 14:20:50,Cliente 4,Fraude,2418.84,Elo,Não
2022-05-20 03:52:17,Cliente 3,Estorno,3678.44,Visa,Sim
2022-08-01 21:42:58,Cliente 6,Fraude,1216.12,Visa,Sim
2022-11-19 03:42:07,Cliente 6,Fraude,2393.98,Amex,Sim
2022-04-05 04:11:24,Cliente 8,Compra,696.75,Visa,Não
2022-06-08 08:35:28,Cliente 5,Estorno,4407.61,Elo,Sim
2022-08-01 10:03:50,Cliente 2,Estorno,3946.77,Visa,Não
2022-03-14 16:30:02,Cliente 4,Estorno,3886.69,MasterCard,Sim
2022-05-25 00:01:29,Cliente 1,Saque,4120.17,Elo,Sim
2022-04-16 04:01:10,Cliente 9,Compra,2581.5,Visa,Sim
2022-05-24 11:23:57,Cliente 1,Compra,2558.99,Amex,Sim
2022-09-19 13:43:19,Cliente 2,Compra,3843.13,Visa,Sim
2022-01-02 08:07:24,Cliente 7,Saque,2117.37,MasterCard,Sim
2022-12-20 08:39:47,Cliente 6,Saque,3842.94,Visa,Sim
2022-04-22 03:30:51,Cliente 3,Compra,2935.73,Visa,Não
2022-04-17 15:27:30,Cliente 2,Fraude,1900.51,Amex,Sim
2022-11-10 21:52:49,Cliente 8,Saque,1181.23,Amex,Sim
2022-06-05 08:36:26,Cliente 10,Fraude,1126.34,Elo,Sim
2022-01-25 02:39:28,Cliente 9,Estorno,2099.3,Elo,Não
2022-12-04 11:23:26,Cliente 1,Estorno,488.57,Amex,Sim
2022-04-18 13:42:30,Cliente 10,Fraude,600.9,Visa,Sim
2022-04-13 13:55:26,Cliente 7,Fraude,2802.71,MasterCard,Sim
2022-01-23 10:21:22,Cliente 1,Compra,1402.64,MasterCard,Sim
2022-03-21 21:55:40,Cliente 4,Fraude,3837.75,Amex,Não
2022-06-29 01:26:51,Cliente 8,Fraude,763.74,MasterCard,Sim
2022-05-31 07:28:18,Cliente 4,Saque,3468.17,Visa,Não
2022-08-11 13:05:04,Cliente 7,Fraude,4135.66,Elo,Não
2022-04-21 18:30:42,Cliente 3,Compra,1623.73,Amex,Não
2022-08-26 18:48:21,Cliente 2,Estorno,4337.78,MasterCard,Não
2022-10-09 02:37:56,Cliente 6,Fraude,4594.81,Amex,Não
2022-07-05 19:09:02,Cliente 7,Fraude,769.14,MasterCard,Sim
2022-04-02 08:07:25,Cliente 2,Fraude,106.3,MasterCard,Sim
2022-10-27 09:36:21,Cliente 1,Saque,785.6,Amex,Não
2022-11-25 10:33:40,Cliente 1,Compra,3831.9,Amex,Não
2022-03-12 05:57:00,Cliente 3,Estorno,4830.15,Visa,Não
2022-06-05 11:56:19,Cliente 4,Estorno,4043.95,Visa,Não
2022-01-21 01:48:31,Cliente 3,Fraude,194.58,Visa,Sim
2022-09-07 15:11:20,Cliente 9,Estorno,4327.52,MasterCard,Não
2022-03-18 18:58:15,Cliente 3,Fraude,2550.98,Visa,Sim
